id,name,type,height,latitude,longitude,url
421,Beinn a' Ghlo - Carn nan Gabhar,munro,1121.9,56.839846,-3.688022,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=421
422,Beinn a' Ghlo - Braigh Coire Chruinn-bhalgain,munro,1070,56.831101,-3.729489,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=422
424,Glas Tulaichean,munro,1051,56.865757,-3.558163,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=424
425,Beinn Iutharn Mhor,munro,1045,56.894994,-3.568229,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=425
426,Carn an Righ,munro,1029,56.876583,-3.595273,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=426
428,Carn a' Gheoidh,munro,976.1,56.873065,-3.466616,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=428
429,Beinn a' Ghlo - Carn Liath,munro,975.8,56.80777,-3.74409,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=429
432,Carn Bhac,munro,945.1,56.930558,-3.560897,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=432
433,An Socach,munro,944,56.902286,-3.513164,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=433
435,The Cairnwell,munro,933,56.87952,-3.421199,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=435
438,Carn Aosda,munro,915.3,56.895696,-3.423274,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=438
457,Lochnagar - Cac Carn Beag,munro,1155.7,56.960272,-3.245261,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=457
459,Carn a' Choire Bhoidheach,munro,1109.9,56.945773,-3.272707,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=459
461,Glas Maol,munro,1067.7,56.873059,-3.368236,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=461
463,Cairn of Claise,munro,1063.1,56.894179,-3.338638,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=463
465,Carn an t-Sagairt Mor,munro,1047,56.942973,-3.303227,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=465
467,Carn an Tuirc,munro,1018.8,56.908265,-3.357125,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=467
468,Cairn Bannoch,munro,1012,56.927728,-3.278403,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=468
470,Broad Cairn,munro,998,56.919148,-3.249082,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=470
472,Creag Leacach,munro,988.2,56.85464,-3.387768,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=472
479,Tolmount,munro,957.8,56.904724,-3.297946,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=479
480,Tom Buidhe,munro,957.8,56.893624,-3.292357,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=480
483,Driesh,munro,947.6,56.848003,-3.196539,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=483
485,Mount Keen,munro,939,56.96976,-2.973622,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=485
486,Mayar,munro,928.6,56.848936,-3.246316,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=486
518,Ben Macdui [Beinn Macduibh],munro,1309,57.070368,-3.669099,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=518
519,Braeriach,munro,1296,57.078307,-3.72839,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=519
521,Cairn Toul,munro,1291,57.054406,-3.710757,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=521
523,Sgor an Lochain Uaine,munro,1258,57.058376,-3.725897,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=523
525,Cairn Gorm,munro,1244.8,57.116714,-3.644477,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=525
529,Beinn a' Bhuird [Beinn a' Bhuird North Top],munro,1196,57.08759,-3.499383,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=529
531,Beinn Mheadhoin,munro,1182.9,57.095849,-3.611464,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=531
