id,pinId,name,height,url
2564,2564,Middle Dodd,654,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2564
2565,2565,Grey Crag [Sleddale Fell],638,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2565
2566,2566,Little Hart Crag [Little Hart Crag - West Top],637,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2566
2570,2570,Birks,624,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2570
2572,2572,Hartsop Dodd,619,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2572
2573,2573,Heron Pike (Rydal),612,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2573
2574,2574,Shipman Knotts,587,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2574
2577,2577,The Nab,576,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2577
2578,2578,Hartsop Above How [Gill Crag - Hartsop Above How],586.1,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2578
2579,2579,Angletarn Pikes [Angletarn Pikes North Top],566,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2579
2582,2582,Brock Crags (Wainwright),561.2,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2582
2583,2583,Great Mell Fell,537,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2583
2584,2584,Arthur's Pike,533,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2584
2588,2588,Bonscale Pike,524,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2588
2589,2589,High Hartsop Dodd,519,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2589
2590,2590,Sallows,516,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2590
2595,2595,Beda Fell [Beda Head],509,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2595
2596,2596,Low Pike,508,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2596
2598,2598,Little Mell Fell,505,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2598
2601,2601,Stone Arthur,504,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2601
2607,2607,Baystones [Wansfell],486.9,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2607
2609,2609,Sour Howes,483,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2609
