id,name,latitude,longitude
759,,56.989012,-4.930955
773,,56.936211,-5.284527
774,,56.937056,-5.389207
776,,56.935728,-5.448551
803,,57.287701,-5.115159
804,,57.279801,-5.120267
805,,57.254911,-5.222732
810,,57.299545,-5.048945
815,,57.19615,-5.34765
818,,57.309228,-4.999937
821,,57.177825,-5.252177
823,,57.221002,-5.283519
825,,57.180924,-5.337134
826,,57.305977,-5.129909
827,,57.189034,-5.349224
828,,57.173026,-5.229166
833,,57.283399,-5.18635
834,,57.199234,-5.209032
839,,57.181264,-5.281331
845,,57.25755,-5.171311
846,,57.255081,-5.303686
862,,57.184186,-5.154837
863,,57.177622,-5.095407
864,,57.205388,-5.155637
867,,57.191622,-5.091199
871,,57.165959,-5.068159
884,,57.444288,-4.903757
885,,57.452501,-5.189284
886,,57.44968,-4.94178
890,,57.464477,-5.111002
892,,57.451026,-5.207916
894,,57.441497,-4.852465
895,,57.452331,-4.879935
896,,57.413091,-5.223666
898,,57.41971,-5.250472
899,,57.499712,-5.17063
926,,57.369311,-5.059726
927,,57.362429,-5.104728
931,,57.350229,-5.158603
936,,57.363304,-5.024544
953,,57.564197,-5.463609
954,,57.560875,-5.492498
955,,57.593735,-5.429454
956,,57.582098,-5.403706
957,,57.590829,-5.572765
968,,57.580519,-5.581912
981,,57.498622,-5.407747
982,,57.491697,-5.465549
983,,57.512083,-5.400618
1003,,57.807098,-5.251767
1004,,57.800726,-5.259443
1007,,57.708995,-5.271357
1009,,57.718538,-5.265903
1010,,57.667148,-5.347061
1014,,57.719653,-5.346721
1019,,57.702051,-5.291634
1023,,57.726781,-5.329288
1040,,57.700133,-5.016765
1041,,57.696278,-5.048237
1042,,57.691943,-5.09131
1043,,57.693773,-5.128713
1046,,57.706095,-4.989775
1047,,57.680837,-4.983801
1049,,57.712866,-5.048742
1050,,57.611148,-5.102696
1051,,57.681008,-5.04635
1052,,57.667625,-4.949498
1062,,57.78635,-4.929557
1063,,57.791077,-4.903418
1064,,57.798514,-4.934012
1066,,57.771801,-4.853882
1068,,57.813492,-4.934218
1069,,57.84733,-4.89662
1088,,57.678914,-4.57925
1123,,58.413113,-4.60786
1165,,58.235202,-4.41113
1183,,58.138164,-4.858208
1184,,58.135689,-4.883497
1239,,57.206589,-6.224143
1240,,57.213261,-6.234818
1243,,57.227313,-6.234425
1245,,57.220972,-6.241638
1246,,57.248215,-6.193159
1247,,57.246761,-6.210795
1248,,57.208937,-6.224113
1250,,57.204869,-6.211385
1254,,57.24794,-6.202966
1255,,57.219565,-6.09321
1258,,57.19581,-6.211264
1259,,57.230869,-6.231931
1301,,56.424829,-6.013999
2925,,56.331991,-4.609644
