id,name,type,height,latitude,longitude,url
2437,Rossett Pike,wainwright,651,54.457935,-3.159804,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2437
2438,Fleetwith Pike,wainwright,648.9,54.516562,-3.22818,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2438
2439,Base Brown,wainwright,646,54.492581,-3.197762,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2439
2442,Causey Pike,wainwright,637,54.576817,-3.210133,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2442
2445,Starling Dodd,wainwright,633,54.529725,-3.327207,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2445
2450,Yewbarrow,wainwright,628.7,54.464889,-3.27686,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2450
2451,Great Borne,wainwright,616,54.534903,-3.355442,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2451
2454,Illgill Head,wainwright,608.8,54.43293,-3.282634,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2454
2455,High Seat,wainwright,609,54.552623,-3.103764,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2455
2456,Seathwaite Fell (Wainwright summit),wainwright,601.1,54.480998,-3.191249,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2456
2457,Haystacks (Buttermere),wainwright,597,54.507243,-3.247321,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2457
2458,Bleaberry Fell,wainwright,590,54.56637,-3.106177,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2458
2459,Middle Fell,wainwright,582,54.453249,-3.311327,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2459
2460,Ard Crags,wainwright,581,54.566938,-3.228123,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2460
2461,Maiden Moor,wainwright,575,54.553174,-3.181585,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2461
